Time,Well 101,Well 102,Well 103,Well 104,Well 105,Well 106,Well 107,Well 108,Well 109,Well 110,Well 111,Well 112,Well 113,Well 114,Well 115,Well 116,Well 117,Well 118,Well 119,Well 120,Well 121,Well 122,Well 123,Well 124,Well 125,Well 126,Well 127,Well 128,Well 129,Well 130,Well 131,Well 132,Well 133,Well 134,Well 135,Well 136,Well 137,Well 138,Well 139,Well 140,Well 141,Well 142,Well 143,Well 144,Well 145,Well 146,Well 147,Well 148,Well 149,Well 150,Well 151,Well 152,Well 153,Well 154,Well 155,Well 156,Well 157,Well 158,Well 159,Well 160
0,0.21,0.204,0.203,0.204,0.209,0.186,0.191,0.181,0.19,0.191,0.17,0.172,0.171,0.195,0.169,0.183,0.186,0.184,0.186,0.26,0.187,0.186,0.181,0.179,0.185,0.176,0.181,0.177,0.177,0.179,0.176,0.184,0.184,0.37,0.189,0.186,0.179,0.174,0.185,0.186,0.174,0.173,0.129,0.641,0.17,0.088,0.092,0.092,0.185,0.0945,0.093,0.0895,0.087,0.0925,0.093,0.087,0.0865,0.0645,0.3205,0.085
15,0.234,0.231,0.228,0.226,0.227,0.204,0.201,0.194,0.2,0.207,0.186,0.189,0.185,0.215,0.182,0.193,0.197,0.191,0.196,0.296,0.206,0.201,0.192,0.189,0.193,0.183,0.187,0.187,0.183,0.195,0.188,0.195,0.193,0.4,0.196,0.193,0.194,0.184,0.197,0.194,0.187,0.182,0.134,0.627,0.179,0.094,0.0975,0.0965,0.2,0.098,0.0965,0.097,0.092,0.0985,0.097,0.0935,0.091,0.067,0.3135,0.0895
30,0.275,0.27,0.265,0.264,0.264,0.235,0.233,0.224,0.231,0.238,0.216,0.216,0.211,0.232,0.206,0.21,0.215,0.209,0.214,0.291,0.231,0.224,0.212,0.208,0.21,0.198,0.202,0.203,0.198,0.213,0.207,0.213,0.209,0.418,0.211,0.202,0.202,0.197,0.213,0.209,0.204,0.202,0.145,0.239,0.192,0.1035,0.1065,0.1045,0.209,0.1055,0.101,0.101,0.0985,0.1065,0.1045,0.102,0.101,0.0725,0.1195,0.096
45,0.33,0.322,0.315,0.314,0.321,0.276,0.272,0.261,0.27,0.276,0.253,0.249,0.244,0.255,0.235,0.226,0.23,0.227,0.229,0.296,0.255,0.248,0.233,0.229,0.231,0.213,0.217,0.22,0.213,0.227,0.225,0.232,0.226,0.418,0.227,0.215,0.214,0.209,0.229,0.22,0.221,0.22,0.157,0.262,0.204,0.1125,0.116,0.113,0.209,0.1135,0.1075,0.107,0.1045,0.1145,0.11,0.1105,0.11,0.0785,0.131,0.102
60,0.4,0.39,0.383,0.381,0.386,0.342,0.336,0.324,0.337,0.34,0.307,0.309,0.302,0.308,0.286,0.265,0.267,0.268,0.272,0.327,0.299,0.293,0.285,0.276,0.281,0.247,0.254,0.261,0.249,0.26,0.268,0.274,0.268,0.443,0.269,0.25,0.246,0.24,0.259,0.252,0.251,0.241,0.169,0.306,0.227,0.134,0.137,0.134,0.2215,0.1345,0.125,0.123,0.12,0.1295,0.126,0.1255,0.1205,0.0845,0.153,0.1135
75,0.473,0.461,0.453,0.45,0.443,0.404,0.391,0.382,0.395,0.401,0.357,0.364,0.355,0.354,0.341,0.317,0.319,0.318,0.324,0.366,0.351,0.344,0.338,0.329,0.334,0.3,0.306,0.313,0.302,0.317,0.322,0.327,0.325,0.48,0.324,0.295,0.294,0.289,0.311,0.304,0.301,0.284,0.182,0.352,0.271,0.161,0.1635,0.1625,0.24,0.162,0.1475,0.147,0.1445,0.1555,0.152,0.1505,0.142,0.091,0.176,0.1355
90,0.564,0.552,0.543,0.536,0.495,0.468,0.443,0.442,0.462,0.474,0.413,0.421,0.415,0.407,0.406,0.359,0.363,0.361,0.365,0.396,0.398,0.392,0.385,0.377,0.385,0.344,0.35,0.357,0.346,0.36,0.372,0.378,0.374,0.508,0.375,0.329,0.332,0.326,0.347,0.34,0.338,0.317,0.201,0.398,0.308,0.186,0.189,0.187,0.254,0.1875,0.1645,0.166,0.163,0.1735,0.17,0.169,0.1585,0.1005,0.199,0.154
105,0.667,0.646,0.622,0.629,0.545,0.525,0.494,0.495,0.52,0.539,0.484,0.475,0.469,0.467,0.471,0.4,0.409,0.401,0.408,0.424,0.45,0.448,0.434,0.423,0.436,0.394,0.396,0.403,0.396,0.404,0.429,0.437,0.425,0.533,0.427,0.361,0.369,0.362,0.386,0.381,0.377,0.348,0.228,0.449,0.344,0.2145,0.2185,0.2125,0.2665,0.2135,0.1805,0.1845,0.181,0.193,0.1905,0.1885,0.174,0.114,0.2245,0.172
120,0.745,0.719,0.688,0.7,0.584,0.579,0.542,0.545,0.574,0.594,0.572,0.528,0.521,0.534,0.533,0.428,0.442,0.427,0.434,0.444,0.506,0.513,0.473,0.462,0.478,0.438,0.438,0.449,0.443,0.455,0.485,0.494,0.473,0.547,0.474,0.385,0.397,0.393,0.427,0.414,0.408,0.375,0.247,0.48,0.368,0.2425,0.247,0.2365,0.2735,0.237,0.1925,0.1985,0.1965,0.2135,0.207,0.204,0.1875,0.1235,0.24,0.184
135,0.817,0.782,0.744,0.761,0.625,0.623,0.581,0.589,0.623,0.646,0.68,0.576,0.57,0.599,0.59,0.436,0.453,0.435,0.447,0.403,0.56,0.564,0.505,0.494,0.506,0.472,0.472,0.483,0.476,0.496,0.523,0.528,0.503,0.565,0.503,0.39,0.409,0.402,0.439,0.413,0.42,0.385,0.257,0.484,0.376,0.2615,0.264,0.2515,0.2825,0.2515,0.195,0.2045,0.201,0.2195,0.2065,0.21,0.1925,0.1285,0.242,0.188
