Time,Conct_Fo114,BioRep,TechRep
Well.101,0,A,1
Well.102,0,A,2
Well.103,0,A,3
Well.104,0,A,4
Well.105,0,A,5
Well.106,0,B,1
Well.107,0,B,2
Well.108,0,B,3
Well.109,0,B,4
Well.110,0,B,5
Well.111,0,C,1
Well.112,0,C,2
Well.113,0,C,3
Well.114,0,C,4
Well.115,0,C,5
Well.116,1,A,1
Well.117,1,A,2
Well.118,1,A,3
Well.119,1,A,4
Well.120,1,A,5
Well.121,1,B,1
Well.122,1,B,2
Well.123,1,B,3
Well.124,1,B,4
Well.125,1,B,5
Well.126,1,C,1
Well.127,1,C,2
Well.128,1,C,3
Well.129,1,C,4
Well.130,1,C,5
Well.131,10,A,1
Well.132,10,A,2
Well.133,10,A,3
Well.134,10,A,4
Well.135,10,A,5
Well.136,10,B,1
Well.137,10,B,2
Well.138,10,B,3
Well.139,10,B,4
Well.140,10,B,5
Well.141,10,C,1
Well.142,10,C,2
Well.143,10,C,3
Well.144,10,C,4
Well.145,10,C,5
Well.146,100,A,1
Well.147,100,A,2
Well.148,100,A,3
Well.149,100,A,4
Well.150,100,A,5
Well.151,100,B,1
Well.152,100,B,2
Well.153,100,B,3
Well.154,100,B,4
Well.155,100,B,5
Well.156,100,C,1
Well.157,100,C,2
Well.158,100,C,3
Well.159,100,C,4
Well.160,100,C,5
